"NextRunTime","Author","ActionExecDirectory","State","UserId","ComputerName","Name","LastRunTime","LastTaskResult","Description","NumberOfMissedRuns","Enabled","Path","ActionExecCommands","Trigger","ActionExecArguments"
"10/12/2018 7:50:00 PM","PELASSET0\mgriffin",,"Ready","S-1-5-21-596350324-840846452-1563128412-1005","LIBSHUTTLE3","LIBSHUTTLE SHUTDOWN","10/11/2018 7:50:00 PM","0","This will shutdown libshuttle everynight, staff will simply turn TVs and Computers on every morning.","0","True","\LIBSHUTTLE SHUTDOWN","C:\Windows\System32\shutdown.exe","System.Xml.XmlElement","/p /f"
"10/13/2018 11:55:25 PM","Microsoft Corporation",,"Ready","S-1-5-21-596350324-840846452-1563128412-1001","LIBSHUTTLE3","OneDrive Standalone Update Task-S-1-5-21-596350324-840846452-1563128412-1001","9/13/2017 11:30:56 AM","0",,"394","True","\OneDrive Standalone Update Task-S-1-5-21-596350324-840846452-1563128412-1001","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","LIBSHUTTLE3\NovaUser",,"Running","S-1-5-21-596350324-840846452-1563128412-1005","LIBSHUTTLE3","Run nova software","10/12/2018 8:30:34 AM","267009","Runs the nova software at the login of novauser. mg/2018","0","True","\Run nova software","""C:\Program Files\NovisignFX\novisign.exe""","System.Xml.XmlElement",
"10/13/2018 8:00:00 AM","Adobe Systems Incorporated",,"Ready",,"LIBSHUTTLE4","Adobe Acrobat Update Task","10/12/2018 12:12:34 PM","0","This task keeps your Adobe Reader and Acrobat applications up to date with the latest enhancements and security fixes","0","True","\Adobe Acrobat Update Task","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe","System.Object[]",
"12/30/1899 12:00:00 AM","ExplorerShellUnelevated",,"Ready","S-1-5-21-1078081533-2000478354-682003330-500","LIBSHUTTLE4","CreateExplorerShellUnelevatedTask","4/30/2018 3:01:18 PM","1073807364",,"0","True","\CreateExplorerShellUnelevatedTask","C:\Windows\Explorer.EXE","System.Xml.XmlElement","/NOUACCHECK"
"10/13/2018 10:18:48 AM",,,"Ready","S-1-5-18","LIBSHUTTLE4","GoogleUpdateTaskMachineCore","10/12/2018 10:18:48 AM","0","Keeps your Google software up to date. If this task is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Google software using it.","0","True","\GoogleUpdateTaskMachineCore","C:\Program Files (x86)\Google\Update\GoogleUpdate.exe","System.Object[]","/c"
"10/12/2018 1:18:48 PM",,,"Ready","S-1-5-18","LIBSHUTTLE4","GoogleUpdateTaskMachineUA","10/12/2018 12:18:48 PM","0","Keeps your Google software up to date. If this task is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Google software using it.","0","True","\GoogleUpdateTaskMachineUA","C:\Program Files (x86)\Google\Update\GoogleUpdate.exe","System.Xml.XmlElement","/ua /installsource scheduler"
"10/12/2018 7:50:00 PM","LIBSHUTTLE4\NovaUser",,"Ready","S-1-5-21-2466782840-2186645361-547877773-1004","LIBSHUTTLE4","LIBSHUTTLE SHUTDOWN","10/11/2018 7:50:00 PM","0","This will shutdown the computer everynight at 7:50pm.","0","True","\LIBSHUTTLE SHUTDOWN","C:\Windows\System32\shutdown.exe","System.Xml.XmlElement","/p /f"
"10/13/2018 11:46:23 PM","Microsoft Corporation",,"Ready","S-1-5-21-2466782840-2186645361-547877773-1001","LIBSHUTTLE4","OneDrive Standalone Update Task-S-1-5-21-2466782840-2186645361-547877773-1001","9/13/2017 11:30:56 AM","0",,"394","True","\OneDrive Standalone Update Task-S-1-5-21-2466782840-2186645361-547877773-1001","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","LIBSHUTTLE4\NovaUser",,"Running","S-1-5-21-2466782840-2186645361-547877773-1004","LIBSHUTTLE4","Run Nova Software at login","10/12/2018 8:30:33 AM","267009","Runs the nova software once novauser is logged in.  mg/2018","0","True","\Run Nova Software at login","""C:\Program Files\NovisignFX\novisign.exe""","",
